"offense_type","cleared","dm_offender_age","dm_offender_sex","dm_offender_race","dm_offender_hispanic_latino","dm_victim_age","dm_victim_sex","dm_victim_race","dm_victim_hispanic_latino","dm_victim_residency","injury_severity","weapon_type","relationship","arrest","biased","arrest_type"
simp_assault,not_cleared,"32-42",M,black,unknown,"32-42",F,white,unknown,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,black,unknown,"18-24",F,white,yes,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,unknown,"18-24",F,white,yes,R,none,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"25-31",M,black,unknown,"25-31",M,white,no,R,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,>42,M,black,unknown,>42,F,black,no,R,minor,object,Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",M,white,unknown,"25-31",F,white,yes,R,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,black,unknown,"32-42",F,black,no,R,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"18-24",M,other,unknown,"25-31",F,white,yes,U,none,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"25-31",M,black,unknown,"25-31",F,white,no,R,none,none,CL-Spouse,Yes,false,On View
simp_assault,not_cleared,"32-42",M,white,unknown,"25-31",F,white,yes,R,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,"32-42",M,white,unknown,"25-31",F,white,no,R,minor,object,Spouse,Yes,false,Taken INTO Custody
intimidation,not_cleared,"32-42",F,white,unknown,"32-42",M,black,no,R,none,none,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",M,black,unknown,"25-31",F,white,yes,R,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,"25-31",M,white,unknown,>42,F,white,no,R,none,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"18-24",M,white,unknown,"18-24",F,white,yes,R,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"18-24",M,white,unknown,<18,F,white,no,R,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"25-31",M,black,unknown,"25-31",F,white,no,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
rape,not_cleared,>42,M,white,unknown,>42,F,white,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,black,unknown,"18-24",F,white,no,R,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,black,no,>42,F,black,no,U,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"18-24",M,black,no,"18-24",F,white,yes,U,minor,none,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,yes,U,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,yes,U,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"25-31",F,white,yes,U,none,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",M,black,no,"18-24",F,black,no,U,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"18-24",M,white,yes,"25-31",F,white,yes,U,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,yes,"32-42",F,white,no,U,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,F,black,no,>42,M,black,no,U,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,black,no,"32-42",F,black,no,U,minor,object,CL-Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",M,black,no,"25-31",F,white,no,U,minor,object,Spouse,No,false,No Arrest
agg_assault,not_cleared,"25-31",M,black,no,"25-31",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,yes,"25-31",F,white,yes,U,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",M,white,yes,"25-31",F,white,yes,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
agg_assault,not_cleared,"25-31",M,white,no,"25-31",F,white,no,U,minor,firearm,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",F,white,no,"25-31",M,white,yes,U,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,yes,"32-42",F,black,no,U,none,unknown,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",M,white,yes,"25-31",F,white,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,yes,>42,F,white,yes,U,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,F,black,no,>42,M,black,no,U,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,black,no,"18-24",F,black,no,U,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,yes,>42,F,white,no,U,minor,none,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,no,>42,F,white,no,U,minor,none,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"18-24",F,white,yes,"18-24",M,white,yes,U,minor,object,BF/GF,No,false,No Arrest
intimidation,declined,"25-31",M,white,no,"25-31",F,white,no,N,none,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,black,no,"18-24",F,white,yes,R,none,object,BF/GF,Yes,false,Taken INTO Custody
rape,uncooperative,"25-31",M,white,no,"18-24",F,white,no,R,none,none,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,yes,"18-24",F,white,yes,R,minor,object,BF/GF,No,false,No Arrest
rape,not_cleared,"18-24",M,black,no,<18,F,black,no,U,none,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"18-24",M,white,no,"18-24",F,white,no,N,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"25-31",M,white,no,"18-24",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,no,"18-24",F,white,yes,R,none,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"32-42",M,white,no,"25-31",F,white,no,R,none,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"18-24",F,white,no,"18-24",M,white,yes,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,yes,"25-31",F,white,yes,R,minor,none,BF/GF,Yes,false,On View
simp_assault,not_cleared,"25-31",F,white,no,"25-31",M,white,no,R,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,>42,M,white,no,"32-42",M,white,no,R,none,none,BF/GF-gay,Yes,false,On View
simp_assault,not_cleared,"18-24",F,white,yes,"18-24",M,black,no,R,none,object,BF/GF,No,false,No Arrest
intimidation,not_cleared,"25-31",M,white,no,"18-24",F,white,no,R,none,none,BF/GF,No,false,No Arrest
intimidation,not_cleared,"32-42",F,white,yes,>42,M,white,no,R,none,none,CL-Spouse,Yes,false,On View
simp_assault,not_cleared,>42,F,white,no,>42,F,white,no,R,minor,object,BF/GF-gay,Yes,false,On View
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,no,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",F,white,no,"18-24",M,white,no,N,minor,object,Spouse,Yes,false,Summoned / Cited
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,no,R,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"32-42",M,other,no,>42,F,white,no,R,minor,object,Spouse,Yes,false,On View
intimidation,not_cleared,>42,M,black,no,"32-42",F,black,no,R,none,none,BF/GF,Yes,false,On View
simp_assault,not_cleared,"25-31",M,white,no,"18-24",F,white,no,U,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"18-24",F,white,no,"25-31",M,other,no,R,none,object,Spouse,Yes,false,On View
simp_assault,not_cleared,"25-31",F,white,yes,"32-42",M,white,yes,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",F,white,no,"18-24",M,white,yes,R,none,object,BF/GF,No,false,No Arrest
intimidation,not_cleared,>42,M,white,no,>42,F,white,no,N,none,none,BF/GF,Yes,false,On View
simp_assault,not_cleared,>42,F,other,no,>42,M,white,no,R,none,unknown,BF/GF,Yes,false,On View
simp_assault,not_cleared,>42,F,black,no,>42,M,black,no,R,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,>42,F,white,no,>42,M,white,no,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,no,>42,F,white,no,R,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,yes,>42,F,white,yes,R,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"18-24",M,black,no,"25-31",F,black,no,R,none,none,BF/GF,Yes,false,On View
simp_assault,not_cleared,"25-31",F,white,no,"25-31",M,white,no,R,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"32-42",M,white,unknown,"32-42",F,white,unknown,R,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,"25-31",M,white,no,"25-31",F,white,no,R,minor,object,Spouse,Yes,false,On View
agg_assault,not_cleared,>42,M,white,yes,"32-42",F,white,no,N,minor,unknown,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,yes,R,none,object,BF/GF,Yes,false,Summoned / Cited
simp_assault,not_cleared,"25-31",M,white,no,"25-31",F,white,no,R,none,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"32-42",M,black,no,"32-42",F,white,no,R,none,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"25-31",F,white,no,"25-31",M,white,unknown,R,none,object,BF/GF,Yes,false,Summoned / Cited
simp_assault,not_cleared,"25-31",M,white,no,"25-31",F,white,no,R,minor,none,Spouse,Yes,false,On View
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,no,R,minor,object,CL-Spouse,Yes,false,On View
simp_assault,not_cleared,"25-31",M,white,no,"25-31",F,white,no,R,minor,object,BF/GF,Yes,false,On View
agg_assault,not_cleared,"18-24",M,white,yes,"18-24",F,white,yes,R,major,firearm,BF/GF,Yes,false,On View
agg_assault,not_cleared,"25-31",M,black,no,>42,F,white,no,R,none,object,BF/GF,No,false,No Arrest
agg_assault,not_cleared,>42,M,white,no,"32-42",F,white,no,R,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,black,no,>42,F,black,no,R,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,"32-42",F,white,unknown,"32-42",M,white,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,black,no,"18-24",F,black,unknown,U,minor,object,BF/GF,No,false,No Arrest
simp_assault,declined,<18,M,white,no,"18-24",F,other,no,N,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,black,no,"32-42",F,black,no,R,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"32-42",M,white,unknown,>42,F,white,no,R,none,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"32-42",M,white,yes,>42,F,white,no,R,minor,object,BF/GF,Yes,false,On View
intimidation,not_cleared,>42,M,white,no,>42,F,other,no,R,none,none,Spouse,Yes,false,On View
other,not_cleared,"25-31",M,white,no,"18-24",F,black,no,R,major,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",F,white,no,"32-42",M,white,no,R,none,none,Spouse,Yes,false,On View
simp_assault,declined,>42,M,white,yes,"32-42",F,white,yes,N,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,yes,R,minor,object,Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,>42,M,white,no,>42,M,white,no,R,none,object,BF/GF-gay,Yes,false,On View
simp_assault,declined,<18,M,black,no,<18,F,black,no,N,minor,object,BF/GF,No,false,No Arrest
agg_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,yes,R,minor,object,CL-Spouse,Yes,false,On View
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,no,N,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,black,no,"25-31",F,black,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,no,>42,F,white,no,R,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,unknown,>42,F,white,no,R,minor,object,Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",M,white,no,"25-31",F,white,no,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,no,"25-31",F,white,yes,R,none,object,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,unknown,U,minor,unknown,Spouse,No,false,No Arrest
intimidation,not_cleared,"32-42",M,white,no,"32-42",F,white,no,R,none,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,<18,M,black,no,<18,F,black,no,N,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",F,black,no,"25-31",M,black,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,yes,U,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,white,yes,"32-42",M,white,no,U,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,white,no,"32-42",M,white,no,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,black,no,"25-31",F,white,no,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"25-31",F,white,no,R,minor,object,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"25-31",F,white,no,R,minor,object,CL-Spouse,Yes,false,On View
simp_assault,not_cleared,"25-31",M,white,no,"32-42",F,white,no,R,none,none,CL-Spouse,Yes,false,On View
simp_assault,not_cleared,"32-42",M,black,no,"25-31",F,black,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,uncooperative,"32-42",M,white,yes,"25-31",F,white,yes,R,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,no,"32-42",F,white,yes,R,none,object,BF/GF,No,false,No Arrest
agg_assault,not_cleared,"25-31",M,white,no,"32-42",F,white,no,R,major,object,BF/GF,No,false,No Arrest
intimidation,not_cleared,"32-42",M,white,no,"32-42",F,white,no,R,none,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,yes,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,yes,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,black,no,"32-42",F,white,no,R,minor,object,CL-Spouse,No,false,No Arrest
simp_assault,uncooperative,"18-24",M,black,no,"32-42",F,black,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,<18,M,black,no,"18-24",F,white,yes,R,none,object,BF/GF,No,false,No Arrest
simp_assault,uncooperative,"32-42",M,white,no,"25-31",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,F,white,no,>42,M,white,no,R,minor,object,Spouse,No,false,No Arrest
agg_assault,not_cleared,>42,M,black,no,"32-42",F,black,no,R,minor,firearm,CL-Spouse,No,false,No Arrest
intimidation,not_cleared,"32-42",M,black,no,"25-31",F,black,no,R,none,none,Spouse,Yes,false,On View
simp_assault,not_cleared,"25-31",M,black,no,"25-31",F,black,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,black,no,"25-31",F,black,no,R,none,object,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,no,"18-24",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,no,"18-24",F,white,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,black,no,>42,F,black,no,R,minor,object,Spouse,No,false,No Arrest
simp_assault,uncooperative,>42,M,white,no,>42,F,white,no,R,minor,unknown,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,black,no,>42,F,black,no,R,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,black,no,"25-31",F,black,no,R,none,object,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"18-24",F,white,no,"25-31",M,white,yes,R,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,black,no,>42,F,black,no,R,minor,object,Spouse,Yes,false,On View
intimidation,not_cleared,"18-24",M,white,no,"18-24",F,white,no,R,none,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,no,R,none,object,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,black,no,"25-31",F,black,no,R,none,object,CL-Spouse,No,false,No Arrest
simp_assault,uncooperative,>42,M,white,no,"32-42",F,white,no,R,none,object,Spouse,No,false,No Arrest
simp_assault,uncooperative,>42,M,white,no,>42,F,white,no,R,minor,object,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,no,"32-42",F,white,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,no,"32-42",F,white,no,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
intimidation,not_cleared,"25-31",M,white,no,"32-42",F,white,no,R,none,none,BF/GF,Yes,false,Taken INTO Custody
rape,not_cleared,"32-42",M,other,no,"32-42",F,white,yes,N,none,none,Spouse,No,false,No Arrest
intimidation,not_cleared,"32-42",F,white,no,"32-42",M,white,no,R,none,none,Spouse,No,false,No Arrest
intimidation,not_cleared,"32-42",F,white,no,"32-42",M,white,no,R,none,none,Spouse,No,false,No Arrest
intimidation,not_cleared,"32-42",M,white,no,"32-42",F,white,no,R,none,none,Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,no,"25-31",F,white,no,R,minor,object,Spouse,Yes,false,Taken INTO Custody
simp_assault,uncooperative,"25-31",F,white,no,"25-31",M,white,no,N,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,white,no,>42,M,white,no,R,minor,object,Spouse,Yes,false,On View
intimidation,not_cleared,"32-42",M,white,no,>42,F,white,no,R,none,none,Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,>42,F,white,no,>42,M,white,no,R,none,object,CL-Spouse,Yes,false,Summoned / Cited
simp_assault,uncooperative,"18-24",M,white,yes,<18,F,white,yes,N,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,>42,F,white,no,R,none,object,Spouse,Yes,false,Summoned / Cited
simp_assault,not_cleared,"32-42",M,black,no,"32-42",F,white,no,R,minor,object,Spouse,Yes,false,On View
simp_assault,uncooperative,"25-31",M,white,yes,"32-42",F,white,no,R,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,no,"18-24",F,white,no,R,none,object,BF/GF,Yes,false,On View
intimidation,not_cleared,"18-24",M,white,unknown,"18-24",F,white,no,R,none,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,yes,"18-24",F,white,yes,U,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,F,white,yes,>42,M,white,yes,R,minor,object,Spouse,Yes,false,On View
intimidation,uncooperative,"25-31",M,black,no,"25-31",F,black,no,R,none,none,Spouse,No,false,No Arrest
agg_assault,not_cleared,"32-42",M,black,no,"25-31",F,white,no,R,major,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,>42,M,black,no,>42,F,white,no,R,minor,object,BF/GF,Yes,false,On View
intimidation,not_cleared,"32-42",M,white,yes,"25-31",F,white,yes,R,none,none,BF/GF,Yes,false,On View
simp_assault,not_cleared,>42,M,black,no,>42,F,black,no,R,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,"25-31",M,white,yes,"25-31",F,white,yes,R,none,object,BF/GF,Yes,false,Summoned / Cited
simp_assault,uncooperative,"18-24",M,white,yes,"18-24",F,white,yes,R,none,object,BF/GF,No,false,No Arrest
simp_assault,uncooperative,>42,F,white,no,>42,M,white,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,F,white,no,>42,M,white,no,R,none,object,Spouse,Yes,false,Summoned / Cited
simp_assault,not_cleared,"25-31",M,white,unknown,"25-31",F,white,no,R,none,none,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,yes,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"25-31",F,white,yes,N,none,none,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,black,unknown,"18-24",F,white,yes,N,none,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,yes,"18-24",F,white,yes,N,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,yes,"25-31",F,white,yes,N,minor,object,CL-Spouse,No,false,No Arrest
agg_assault,not_cleared,"32-42",M,white,unknown,"32-42",F,white,yes,N,major,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,white,unknown,"25-31",M,white,yes,N,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,unknown,"32-42",F,white,yes,N,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,yes,"18-24",F,white,yes,N,none,none,Spouse,Yes,false,On View
simp_assault,not_cleared,"18-24",M,white,yes,"18-24",F,white,yes,N,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,yes,"25-31",F,white,yes,N,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,>42,M,unknown,unknown,"32-42",F,white,no,N,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,F,white,yes,"32-42",F,white,yes,N,none,object,BF/GF,No,false,No Arrest
